lat,lon,isLand
41.6769,-141.0069,False
41.6769,-139.53376666666668,False
41.6769,-138.06063333333336,False
41.6769,-136.58750000000003,False
41.6769,-135.1143666666667,False
41.6769,-133.6412333333334,False
41.6769,-132.16810000000007,False
41.6769,-130.69496666666674,False
41.6769,-129.22183333333342,False
41.6769,-127.74870000000008,False
41.6769,-126.27556666666675,False
41.6769,-124.80243333333341,False
41.6769,-123.32930000000007,False
41.6769,-121.85616666666674,False
41.6769,-120.3830333333334,False
41.6769,-118.90990000000006,False
41.6769,-117.43676666666673,False
41.6769,-115.96363333333339,False
41.6769,-114.49050000000005,False
41.6769,-113.01736666666672,False
41.6769,-111.54423333333338,False
41.6769,-110.07110000000004,False
41.6769,-108.59796666666671,False
41.6769,-107.12483333333337,False
41.6769,-105.65170000000003,False
41.6769,-104.1785666666667,False
41.6769,-102.70543333333336,False
41.6769,-101.23230000000002,False
41.6769,-99.75916666666669,False
41.6769,-98.28603333333335,False
41.6769,-96.81290000000001,False
41.6769,-95.33976666666668,False
41.6769,-93.86663333333334,False
41.6769,-92.3935,False
41.6769,-90.92036666666667,False
41.6769,-89.44723333333333,False
41.6769,-87.97409999999999,False
41.6769,-86.50096666666666,False
41.6769,-85.02783333333332,False
41.6769,-83.55469999999998,False
41.6769,-82.08156666666665,False
41.6769,-80.60843333333331,False
41.6769,-79.13529999999997,False
41.6769,-77.66216666666664,False
41.6769,-76.1890333333333,False
41.6769,-74.71589999999996,False
41.6769,-73.24276666666663,False
41.6769,-71.76963333333329,False
41.6769,-70.29649999999995,False
41.6769,-68.82336666666662,False
41.6769,-67.35023333333328,False
41.6769,-65.87709999999994,False
41.6769,-64.4039666666666,False
41.6769,-62.93083333333327,False
41.6769,-61.45769999999993,False
41.6769,-59.984566666666595,False
41.6769,-58.51143333333326,False
41.6769,-57.03829999999992,False
41.6769,-55.565166666666585,False
41.6769,-54.09203333333325,False
41.6769,-52.61889999999991,False
41.6769,-51.145766666666574,False
42.36745833333334,-141.0069,False
42.36745833333334,-139.53376666666668,False
42.36745833333334,-138.06063333333336,False
42.36745833333334,-136.58750000000003,False
42.36745833333334,-135.1143666666667,False
42.36745833333334,-133.6412333333334,False
42.36745833333334,-132.16810000000007,False
42.36745833333334,-130.69496666666674,False
42.36745833333334,-129.22183333333342,False
42.36745833333334,-127.74870000000008,False
42.36745833333334,-126.27556666666675,False
42.36745833333334,-124.80243333333341,False
42.36745833333334,-123.32930000000007,False
42.36745833333334,-121.85616666666674,False
42.36745833333334,-120.3830333333334,False
42.36745833333334,-118.90990000000006,False
42.36745833333334,-117.43676666666673,False
42.36745833333334,-115.96363333333339,False
42.36745833333334,-114.49050000000005,False
42.36745833333334,-113.01736666666672,False
42.36745833333334,-111.54423333333338,False
42.36745833333334,-110.07110000000004,False
42.36745833333334,-108.59796666666671,False
42.36745833333334,-107.12483333333337,False
42.36745833333334,-105.65170000000003,False
42.36745833333334,-104.1785666666667,False
42.36745833333334,-102.70543333333336,False
42.36745833333334,-101.23230000000002,False
42.36745833333334,-99.75916666666669,False
42.36745833333334,-98.28603333333335,False
42.36745833333334,-96.81290000000001,False
42.36745833333334,-95.33976666666668,False
42.36745833333334,-93.86663333333334,False
42.36745833333334,-92.3935,False
42.36745833333334,-90.92036666666667,False
42.36745833333334,-89.44723333333333,False
42.36745833333334,-87.97409999999999,False
42.36745833333334,-86.50096666666666,False
42.36745833333334,-85.02783333333332,False
42.36745833333334,-83.55469999999998,False
42.36745833333334,-82.08156666666665,True
42.36745833333334,-80.60843333333331,True
42.36745833333334,-79.13529999999997,False
42.36745833333334,-77.66216666666664,False
42.36745833333334,-76.1890333333333,False
42.36745833333334,-74.71589999999996,False
42.36745833333334,-73.24276666666663,False
42.36745833333334,-71.76963333333329,False
42.36745833333334,-70.29649999999995,False
42.36745833333334,-68.82336666666662,False
42.36745833333334,-67.35023333333328,False
42.36745833333334,-65.87709999999994,False
42.36745833333334,-64.4039666666666,False
42.36745833333334,-62.93083333333327,False
42.36745833333334,-61.45769999999993,False
42.36745833333334,-59.984566666666595,False
42.36745833333334,-58.51143333333326,False
42.36745833333334,-57.03829999999992,False
42.36745833333334,-55.565166666666585,False
42.36745833333334,-54.09203333333325,False
42.36745833333334,-52.61889999999991,False
42.36745833333334,-51.145766666666574,False
43.058016666666674,-141.0069,False
43.058016666666674,-139.53376666666668,False
43.058016666666674,-138.06063333333336,False
43.058016666666674,-136.58750000000003,False
43.058016666666674,-135.1143666666667,False
43.058016666666674,-133.6412333333334,False
43.058016666666674,-132.16810000000007,False
43.058016666666674,-130.69496666666674,False
43.058016666666674,-129.22183333333342,False
43.058016666666674,-127.74870000000008,False
43.058016666666674,-126.27556666666675,False
43.058016666666674,-124.80243333333341,False
43.058016666666674,-123.32930000000007,False
43.058016666666674,-121.85616666666674,False
43.058016666666674,-120.3830333333334,False
43.058016666666674,-118.90990000000006,False
43.058016666666674,-117.43676666666673,False
43.058016666666674,-115.96363333333339,False
43.058016666666674,-114.49050000000005,False
43.058016666666674,-113.01736666666672,False
43.058016666666674,-111.54423333333338,False
43.058016666666674,-110.07110000000004,False
43.058016666666674,-108.59796666666671,False
43.058016666666674,-107.12483333333337,False
43.058016666666674,-105.65170000000003,False
43.058016666666674,-104.1785666666667,False
43.058016666666674,-102.70543333333336,False
43.058016666666674,-101.23230000000002,False
43.058016666666674,-99.75916666666669,False
43.058016666666674,-98.28603333333335,False
43.058016666666674,-96.81290000000001,False
43.058016666666674,-95.33976666666668,False
43.058016666666674,-93.86663333333334,False
