lat,lon,isLand
41.6769,-141.0069,False
41.6769,-140.27033333333333,False
41.6769,-139.53376666666665,False
41.6769,-138.79719999999998,False
41.6769,-138.0606333333333,False
41.6769,-137.32406666666662,False
41.6769,-136.58749999999995,False
41.6769,-135.85093333333327,False
41.6769,-135.1143666666666,False
41.6769,-134.37779999999992,False
41.6769,-133.64123333333325,False
41.6769,-132.90466666666657,False
41.6769,-132.1680999999999,False
41.6769,-131.43153333333322,False
41.6769,-130.69496666666655,False
41.6769,-129.95839999999987,False
41.6769,-129.2218333333332,False
41.6769,-128.48526666666652,False
41.6769,-127.74869999999986,False
41.6769,-127.0121333333332,False
41.6769,-126.27556666666653,False
41.6769,-125.53899999999987,False
41.6769,-124.80243333333321,False
41.6769,-124.06586666666655,False
41.6769,-123.32929999999989,False
41.6769,-122.59273333333323,False
41.6769,-121.85616666666657,False
41.6769,-121.1195999999999,False
41.6769,-120.38303333333324,False
41.6769,-119.64646666666658,False
41.6769,-118.90989999999992,False
41.6769,-118.17333333333326,False
41.6769,-117.4367666666666,False
41.6769,-116.70019999999994,False
41.6769,-115.96363333333328,False
41.6769,-115.22706666666662,False
41.6769,-114.49049999999995,False
41.6769,-113.7539333333333,False
41.6769,-113.01736666666663,False
41.6769,-112.28079999999997,False
41.6769,-111.54423333333331,False
41.6769,-110.80766666666665,False
41.6769,-110.07109999999999,False
41.6769,-109.33453333333333,False
41.6769,-108.59796666666666,False
41.6769,-107.8614,False
41.6769,-107.12483333333334,False
41.6769,-106.38826666666668,False
41.6769,-105.65170000000002,False
41.6769,-104.91513333333336,False
41.6769,-104.1785666666667,False
41.6769,-103.44200000000004,False
41.6769,-102.70543333333337,False
41.6769,-101.96886666666671,False
41.6769,-101.23230000000005,False
41.6769,-100.49573333333339,False
41.6769,-99.75916666666673,False
41.6769,-99.02260000000007,False
41.6769,-98.2860333333334,False
41.6769,-97.54946666666675,False
41.6769,-96.81290000000008,False
41.6769,-96.07633333333342,False
41.6769,-95.33976666666676,False
41.6769,-94.6032000000001,False
41.6769,-93.86663333333344,False
41.6769,-93.13006666666678,False
41.6769,-92.39350000000012,False
41.6769,-91.65693333333346,False
41.6769,-90.9203666666668,False
41.6769,-90.18380000000013,False
41.6769,-89.44723333333347,False
41.6769,-88.71066666666681,False
41.6769,-87.97410000000015,False
41.6769,-87.23753333333349,False
41.6769,-86.50096666666683,False
41.6769,-85.76440000000017,False
41.6769,-85.0278333333335,False
41.6769,-84.29126666666684,False
41.6769,-83.55470000000018,False
41.6769,-82.81813333333352,False
41.6769,-82.08156666666686,False
41.6769,-81.3450000000002,False
41.6769,-80.60843333333354,False
41.6769,-79.87186666666688,False
41.6769,-79.13530000000021,False
41.6769,-78.39873333333355,False
41.6769,-77.66216666666689,False
41.6769,-76.92560000000023,False
41.6769,-76.18903333333357,False
41.6769,-75.45246666666691,False
41.6769,-74.71590000000025,False
41.6769,-73.97933333333359,False
41.6769,-73.24276666666692,False
41.6769,-72.50620000000026,False
41.6769,-71.7696333333336,False
41.6769,-71.03306666666694,False
41.6769,-70.29650000000028,False
41.6769,-69.55993333333362,False
41.6769,-68.82336666666696,False
41.6769,-68.0868000000003,False
41.6769,-67.35023333333363,False
41.6769,-66.61366666666697,False
41.6769,-65.87710000000031,False
41.6769,-65.14053333333365,False
41.6769,-64.40396666666699,False
41.6769,-63.66740000000032,False
41.6769,-62.93083333333365,False
41.6769,-62.194266666666984,False
41.6769,-61.457700000000315,False
41.6769,-60.72113333333365,False
41.6769,-59.98456666666698,False
41.6769,-59.24800000000031,False
41.6769,-58.51143333333364,False
41.6769,-57.77486666666697,False
41.6769,-57.038300000000305,False
41.6769,-56.30173333333364,False
41.6769,-55.56516666666697,False
41.6769,-54.8286000000003,False
41.6769,-54.09203333333363,False
41.6769,-53.35546666666696,False
41.6769,-52.618900000000295,False
41.6769,-51.88233333333363,False
42.02217916666667,-141.0069,False
42.02217916666667,-140.27033333333333,False
42.02217916666667,-139.53376666666665,False
42.02217916666667,-138.79719999999998,False
42.02217916666667,-138.0606333333333,False
42.02217916666667,-137.32406666666662,False
42.02217916666667,-136.58749999999995,False
42.02217916666667,-135.85093333333327,False
42.02217916666667,-135.1143666666666,False
42.02217916666667,-134.37779999999992,False
42.02217916666667,-133.64123333333325,False
42.02217916666667,-132.90466666666657,False
42.02217916666667,-132.1680999999999,False
42.02217916666667,-131.43153333333322,False
42.02217916666667,-130.69496666666655,False
42.02217916666667,-129.95839999999987,False
42.02217916666667,-129.2218333333332,False
42.02217916666667,-128.48526666666652,False
42.02217916666667,-127.74869999999986,False
42.02217916666667,-127.0121333333332,False
42.02217916666667,-126.27556666666653,False
42.02217916666667,-125.53899999999987,False
42.02217916666667,-124.80243333333321,False
42.02217916666667,-124.06586666666655,False
42.02217916666667,-123.32929999999989,False
42.02217916666667,-122.59273333333323,False
42.02217916666667,-121.85616666666657,False
42.02217916666667,-121.1195999999999,False
42.02217916666667,-120.38303333333324,False
42.02217916666667,-119.64646666666658,False
42.02217916666667,-118.90989999999992,False
42.02217916666667,-118.17333333333326,False
42.02217916666667,-117.4367666666666,False
42.02217916666667,-116.70019999999994,False
42.02217916666667,-115.96363333333328,False
42.02217916666667,-115.22706666666662,False
42.02217916666667,-114.49049999999995,False
42.02217916666667,-113.7539333333333,False
42.02217916666667,-113.01736666666663,False
42.02217916666667,-112.28079999999997,False
42.02217916666667,-111.54423333333331,False
42.02217916666667,-110.80766666666665,False
42.02217916666667,-110.07109999999999,False
42.02217916666667,-109.33453333333333,False
